from,to
SPI1,SSR3
HOXC4,RAB11A
NFIC,SIK1
RFX3,ELMO1
HOXA9,KCND2
FOXO4,GADD45A
BACH1,CCNL1
REL,NEO1
TEF,RND1
ZNF281,MEX3A
HOXC9,WEE1
SP3,XPR1
SPI1,UBE2O
PRDM1,CTNND2
EGR1,SCN1B
PAX,CDH11
USF1,C18orf8
KLF7,STARD3
ESRRB,ATP5L
ATF1,WHSC1
NHLH1,PCYOX1L
NR1H4,SLC51B
TCF3,MAP4K5
NFIA,ASIC4
TCF7L1,TCF20
POU1F1,PMP22
KLF4,ZNF283
CREB1,HIC2
EGR4,LOXL1
HSF4,IQCJ-SCHIP1
SP1,METTL7B
TFAP2C,KIF17
ATF6,C17orf100
KLF12,TPCN2
TGIF1,DPP10
PRRX1,CEP192
AP1,AKT3
KLF16,RRBP1
ZNF628,EPC1
HERPUD1,FAM107B
SP1,MTUS1
FLI1,PREPL
NANOG,PYGO2
SP8,RFXANK
GZF1,EVI5L
ZNF652,NUMB
PITX1,STIM2
GLI,FXYD1
SNAI2,COBL
ELK4,SNRPE
IRF,TCF7L2
RFX3,DYRK1B
NOBOX,MAB21L1
REST,HTR7
MEF2D,PMPCB
SP3,TMEM97
EGR1,UBR4
EGR2,FAM178A
UNCX,JARID2
SMAD3,COX6A2
ARX,HLA-DPB1
ZBTB14,TBX3
ERF,ZCWPW2
FOXA2,BMF
ETV1,CYB561
FOXB1,TRAPPC4
SP3,NYX
PRRX2,CS
ATF1,HIC2
IRF9,CPA6
RARB,CHCHD1
ZNF35,GNRH1
SOX14,C14orf23
SP3,ZNF333
ELF5,FAM200A
STAT5A,LMO4
ITGB2,PQBP1
RHOXF1,PTPN2
MYEF2,COL13A1
CREB3L2,ARSK
ELK4,CD72
MYC,VWA2
HOXD9,PIPOX
NFE2L2,NAP1L2
ATF7,TUBB2A
DOBOX5,BCL11A
CACBP,DLX1
TBX20,FOS
NRF1,UBAC2
MIXL1,COPA
BACH1,ARHGEF18
MEF2A,ELMO1
SNAI2,KCNK12
RFX4,E2F5
HOXA3,PSMD5
ERG,NASP
ESR1,SFXN2
EBOX,KDM4B
HNF4A,DRD1
NKX6-1,CAV1
FEV,FAM210A
SP1,ERCC1
ITGB2,ANO4
CEBPG,NPR3
CREB3,FAM220A
ELF1,CDC45
HOXC6,NVL
RREB1,SLC16A8
SP1,ZNF512
MEOX2,TANGO6
IRX6,LRIT3
TCF12,MRPS21
EGR,CBX6
SP4,TBL1XR1
RFX2,ABHD11
TFAP2E,B3GNT2
POU3F2,ADTRP
KLF12,CERS5
NR2F6,RASA3
HOXB3,LRCH1
BSX,SYCE2
NR4A2,ZFHX2
PDX1,THTPA
ATF4,CCNL1
NR2F2,MAP4K4
E4F1,TMEM175
YY1,DLG1
TFAP2B,CREB5
TFAP2A,PER2
RUNX2,PRUNE
HDX,SCN2A
ETS2,KIAA0247
HMX3,FARSA
ETV5,THAP10
GBX1,SLC17A7
NRF1,ORC6
FOXL1,FOXL1
PHOX2A,C1QL4
EMX1,CMC1
CBX5,SLC17A6
PTF1A,MAML1
RFX1,WDR44
SP4,MCAM
SP1,SEMA6C
ELK4,JMJD6
SP4,SUFU
MYOD1,DNMT3A
PRRX1,ALG9
CPEB1,KIAA1586
CREB,RBMS2
SP4,TIPIN
SP3,PGM3
PPARG,ACAA2
TAL1,DRP2
NFATC1,HTR2A
NFE2L2,TNFRSF1A
